Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
NGC_6694,281.317,-9.386,23.873,-2.908,0.059,163,0.144,0.123,-1.411,0.11,0.524,0.047,NN,8.15,1.63,11.42,1921,1754,776,-97,6631
NGC_6664,279.125,-8.194,23.943,-0.436,0.102,179,-0.089,0.109,-2.561,0.103,0.468,0.059,NN,8.35,1.94,11.62,2110,1928,856,-16,6468
Trumpler_34,279.935,-8.439,24.092,-1.261,0.043,27,-0.933,0.146,-3.448,0.097,0.305,0.051,tooRed,---,---,---,---,---,---,---,---
UPK_26,283.438,-9.847,24.413,-4.976,0.303,42,0.062,0.09,-4.419,0.088,1.108,0.036,NN,7.86,0.59,9.66,855,775,352,-74,7572
UPK_27,275.051,-5.167,24.746,4.55,0.157,69,2.381,0.177,-2.116,0.161,1.088,0.066,NN,9.21,2.27,9.83,924,836,385,73,7513
UBC_101,279.496,-7.135,25.045,-0.274,0.07,54,-0.319,0.102,-3.037,0.066,0.413,0.027,NN,7.45,2.82,11.69,2175,1971,921,-10,6435
UBC_349,280.081,-7.027,25.396,-0.748,0.111,149,-0.514,0.103,-1.67,0.089,0.381,0.035,NN,8.31,1.35,11.91,2411,2177,1033,-31,6248
UBC_350,284.36,-8.936,25.627,-5.408,0.076,26,0.788,0.112,0.642,0.064,0.559,0.021,NN,8.37,0.99,10.98,1566,1406,674,-147,6966
UBC_102,280.613,-6.904,25.757,-1.155,0.091,42,-1.027,0.09,-2.503,0.099,0.513,0.021,NN,8.52,1.16,11.37,1877,1690,815,-37,6698
NGC_6728,284.715,-8.953,25.778,-5.707,0.128,190,1.312,0.108,-1.76,0.107,0.536,0.057,NN,8.78,0.84,11.31,1829,1638,791,-181,6747
UPK_28,277.352,-4.974,25.992,2.606,0.153,57,0.772,0.177,-2.511,0.176,1.109,0.059,NN,8.22,2.88,9.84,927,833,406,42,7517
UBC_103,280.633,-6.592,26.044,-1.029,0.066,97,-0.396,0.104,-2.266,0.097,0.285,0.018,NN,7.35,1.4,12.37,2984,2681,1310,-53,5808
UPK_29,278.617,-5.47,26.143,1.259,0.181,62,0.425,0.196,2.817,0.175,1.487,0.076,NN,8.91,1.9,9.17,681,611,300,14,7734
UBC_104,280.692,-6.257,26.373,-0.935,0.06,61,0.486,0.088,-0.809,0.099,0.295,0.043,NN,7.81,1.71,12.41,3028,2713,1345,-49,5785
UPK_31,285.913,-8.51,26.691,-6.582,0.215,29,-0.28,0.13,1.216,0.109,1.823,0.071,NN,8.7,0.61,8.65,537,477,240,-61,7866
UBC_105,280.319,-5.427,26.945,-0.229,0.085,75,0.459,0.112,-0.997,0.072,0.467,0.028,NN,7.92,1.98,11.66,2144,1911,971,-8,6501
Collinder_350,267.018,1.525,26.952,14.773,0.786,169,-4.965,0.387,-0.019,0.243,2.708,0.129,NN,8.77,0.52,7.85,371,320,162,94,8021
UBC_352,281.22,-5.849,26.989,-1.212,0.095,75,-1.402,0.111,-3.641,0.086,0.262,0.035,NN,6.84,2.22,12.81,3653,3254,1657,-77,5348
UBC_106,280.475,-5.417,27.028,-0.354,0.121,431,-1.088,0.1,-1.317,0.11,0.399,0.038,NN,8.2,1.92,11.86,2353,2096,1069,-14,6334
Teutsch_145,280.617,-5.249,27.24,-0.403,0.019,44,-1.635,0.222,-3.436,0.145,0.264,0.119,NN,8.62,4.15,12.75,3545,3152,1622,-24,5435
UBC_107,279.769,-4.8,27.242,0.558,0.085,184,0.958,0.145,-1.652,0.132,0.318,0.046,NN,8.37,2.69,11.99,2501,2223,1144,24,6222
NGC_6705,282.766,-6.272,27.304,-2.773,0.074,1183,-1.568,0.16,-4.144,0.161,0.427,0.083,NN,8.49,1.2,11.72,2203,1955,1009,-106,6464
Basel_1,282.036,-5.876,27.326,-1.946,0.07,79,-0.079,0.104,-4.509,0.109,0.525,0.052,NN,8.36,1.24,11.33,1846,1639,846,-62,6754
Andrews_Lindsay_5,281.079,-4.931,27.733,-0.667,0.023,58,-0.901,0.142,-3.562,0.177,0.137,0.113,tooRed,---,---,---,---,---,---,---,---
UBC_108,281.611,-5.181,27.763,-1.271,0.111,46,-2.94,0.068,-3.648,0.058,0.627,0.015,NN,8.87,1.92,11,1585,1402,738,-35,6976
