"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1249",88.7757,0.227,-1.4847,0.14,18,0.819,0.026,-2.94,0.066,-3.551,0.128,8.7,1.5,318.354,46.42
"CWNU_1250",12.3632,0.312,-33.4977,0.238,17,2.437,0.048,3.328,2.66,-7.979,2.37,9.1,0.25,307.468,-30.8242
"CWNU_1251",208.6943,0.638,-23.4799,0.5,20,3.744,0.044,-1.465,3.98,-0.107,1.012,7.7,0.55,80.0064,-6.9705
"CWNU_1252",136.4359,0.115,0.6458,0.154,24,1.181,0.021,-0.206,1.42,-1.362,0.446,8.15,2.45,41.178,60.513
"CWNU_1253",125.0859,0.768,-42.458,0.435,34,2.757,0.176,7.921,2.868,-6.5,2.16,9.45,0.4,14.5547,20.3854
"CWNU_1254",109.4021,1.061,-25.0441,0.204,18,2.82,0.045,-4.458,0.12,-13.067,0.296,8.9,0.7,357.6272,36.2217
"CWNU_1255",49.3954,0.303,-10.8593,0.48,16,2.195,0.06,-1.545,0.331,-12.456,0.326,7.7,0.4,300.2282,9.3116
"CWNU_1256",301.4137,0.171,-9.4755,0.115,19,2.117,0.033,-13.417,0.375,-1.254,0.466,7.55,1.45,187.9314,-72.2891
"CWNU_1257",75.9297,0.163,7.1421,0.447,16,2.035,0.042,1.549,0.434,-0.221,0.487,7.5,0.6,298.1133,41.2182
"CWNU_1258",208.3366,0.233,-4.205,0.226,15,2.031,0.051,-1.208,1.004,-3.286,1.382,7.85,0.5,97.0187,2.1592
"CWNU_1259",79.2609,0.522,3.3712,0.479,16,2.066,0.072,2.272,0.592,-0.949,0.76,7.75,0.55,304.7458,42.0241
"CWNU_1260",114.1791,0.495,45.2245,0.359,18,3.062,0.109,-2.139,3.731,2.915,3.14,9.35,0.2,211.6863,70.6023
"CWNU_1261",335.8419,1.019,21.1643,0.84,17,6.261,0.123,-14.186,0.736,-21.334,0.67,7.05,0.15,229.6177,-32.1502
"CWNU_1262",209.1995,0.856,-31.1419,0.726,24,3.566,0.063,-0.42,0.268,-1.574,0.733,7.35,0.2,73.2346,-10.7328
"CWNU_1263",165.6177,0.34,-6.3618,0.235,18,2.062,0.112,3.124,1.313,-7.084,0.565,7.9,2.6,70.2098,36.8456
"CWNU_1264",113.0617,1.14,13.8849,0.644,17,2.925,0.148,9.548,1.603,4.785,1.763,9.8,0.9,336.071,73.8667
"CWNU_1265",260.7703,0.783,-14.3017,0.648,19,3.819,0.082,-11.99,0.49,7.473,0.274,7.65,0.8,112.2592,-48.7555
"CWNU_1266",133.5487,0.24,1.4377,0.128,19,1.009,0.065,-0.017,0.329,-1.781,0.105,7.95,1.5,36.2551,62.3647
"CWNU_1267",347.3782,0.962,20.4741,0.2,16,2.656,0.04,-5.529,0.344,-4.741,0.263,7.9,0.65,239.6484,-25.8322
"CWNU_1268",336.6504,0.089,-1.944,0.068,15,0.88,0.029,0.428,0.07,-4.766,0.053,6.9,2.75,250.6968,-49.0526
"CWNU_1269",51.1452,0.207,-11.5732,0.204,15,2.453,0.067,2.945,2.013,-1.851,1.206,9.35,0.1,301.7353,10.4301
"CWNU_1270",104.7154,0.34,-7.2749,0.214,16,2.121,0.057,3.084,0.644,0.051,0.323,8.1,0.6,343.1001,51.3373
