"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0076",292.420681,0.063439,15.518317,0.042564,51.060864,0.052232,-1.171317,0.053118,0.07449633,0.272007,0.003916,-2.436885,0.110964,-4.742589,0.143816,9.1,0.21,2.8,0.02,"            ","            ",24,0,292.42069224,15.51833808
"OC-0077",294.868918,0.052279,16.488359,0.069764,53.050985,0.060891,-2.759834,0.06067,0.08595675,1.092442,0.0596,-0.89097,0.150447,-5.895662,0.312352,7.3,0.17,0.48,0.017,"            ","            ",20,0,294.86892213,16.4883852
"OC-0078",291.678306,0.047144,19.621965,0.036395,54.328877,0.03903,1.409856,0.042122,0.05742477,0.586435,0.025334,-0.52697,0.173708,-3.446515,0.144415,8.2,0.19,4.02,0.018,8.524987,6.959329,22,2,291.67830849,19.62198032
"OC-0079",296.24606,0.064891,17.546686,0.042923,54.623943,0.046013,-3.38193,0.059671,0.07535134,1.129358,0.046409,-0.83354,0.200999,-5.863245,0.309628,7.5,0.17,1.3,0.021,11.6013,"            ",24,1,296.24606389,17.54671206
"OC-0080",292.648787,0.038948,20.267343,0.03415,55.331925,0.034564,0.916847,0.036149,0.0500142,0.549148,0.028594,-2.904236,0.146277,-6.464004,0.299275,6.5,0.15,1.84,0.02,"            ","            ",21,0,292.64880076,20.26737173
"OC-0081",291.865545,0.069917,20.800474,0.116264,55.449523,0.114729,1.815967,0.068106,0.13342103,2.038263,0.091129,1.701827,0.293439,-6.725166,0.40721,6.4,0.15,4.04,0.028,9.593299,24.90879,40,3,291.86553691,20.80050389
"OC-0082",295.403083,0.039401,19.046944,0.038871,55.530468,0.043893,-1.942725,0.031202,0.05385314,0.319378,0.008479,-1.882005,0.154497,-5.292238,0.171171,8.5,0.2,0.88,0.027,"            ","            ",25,0,295.40309185,19.04696752
"OC-0083",291.727272,0.05465,21.122551,0.053937,55.67158,0.048404,2.082701,0.056285,0.07423576,1.977687,0.08264,1.59628,0.352661,-6.756923,0.382355,6.6,0.15,0.6,0.027,-14.529051,13.583545,54,3,291.72726439,21.12258103
"OC-0084",294.02618,0.027319,20.553268,0.028329,56.206766,0.030288,-0.074576,0.023226,0.03816818,0.347478,0.013277,-1.138916,0.084709,-3.968603,0.098109,8.2,0.19,1.5,0.016,27.447701,8.598916,39,3,294.02618541,20.55328564
"OC-0085",296.41318,0.054938,21.167516,0.039774,57.843022,0.029272,-1.710414,0.057885,0.06486542,0.524185,0.016587,-0.380551,0.180314,-3.466816,0.210435,7,0.16,0.84,0.017,"            ","            ",25,0,296.41318181,21.16753141
"OC-0086",291.753587,0.023551,23.923624,0.019516,58.151885,0.016417,3.389965,0.023994,0.02907284,0.568537,0.021987,-1.544082,0.268495,-4.992306,0.355769,6,0.14,3.86,0.023,"            ","            ",15,0,291.75359451,23.92364619
"OC-0087",295.772016,0.041684,23.288692,0.036846,59.38498,0.034766,-0.137293,0.040185,0.0531367,0.514923,0.009831,-1.821757,0.215981,-5.275288,0.27184,6.8,0.16,3.84,0.016,"            ","            ",17,0,295.77202481,23.28871545
"OC-0088",299.274829,0.031407,28.442741,0.033118,65.424752,0.031054,-0.227714,0.029918,0.0431212,0.312907,0.00761,-1.896152,0.137464,-4.857104,0.114392,8.3,0.19,3.72,0.02,9.225909,"            ",34,1,299.27483858,28.44276259
"OC-0089",299.274953,0.03371,28.447588,0.032217,65.428947,0.028796,-0.225284,0.032974,0.04377778,0.356091,0.013893,-1.900073,0.090503,-4.838779,0.12391,6.2,0.14,2.94,0.019,"            ","            ",36,0,299.2749626,28.44760951
