"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
69,"UBC1070",298.41,0.07,27.57,0.04,64.28,0.04,-0.02,0.07,0.48,0.01,-2.09,0.03,-4.52,0.05,"      ","     ",17,0," ",8.066,2168,1.92,298.41,27.57
70,"UBC1071",297.41,0.05,29.08,0.05,65.13,0.05,1.5,0.05,0.29,0.01,-1.44,0.04,-4.58,0.06,"      ","     ",18,0," ",7.804,3663,1.528,297.41,29.08
71,"UBC1072",297.87,0.07,29.84,0.06,65.99,0.06,1.54,0.05,0.22,0.02,-3.41,0.07,-6.35,0.06,"      ","     ",78,0," ",7.154,4214,1.7,297.87,29.84
72,"UBC1073",298.25,0.07,30.81,0.09,66.99,0.09,1.76,0.06,0.25,0.02,-1.77,0.07,-3.04,0.06,-25.62,2.63,99,7," ",8.834,3678,1.592,298.25,30.81
73,"UBC1074",299.83,0.08,30,0.06,67,0.06,0.17,0.07,0.39,0.02,-2.73,0.04,-5.65,0.06,"      ","     ",24,0," ",7.919,2499,1.239,299.83,30
74,"UBC1075",298.76,0.06,30.64,0.07,67.07,0.07,1.29,0.05,0.26,0.02,-2.12,0.05,-4.18,0.06,"      ","     ",39,0," ",7.484,4085,2.182,298.76,30.64
75,"UBC1076",299.49,0.06,30.58,0.06,67.34,0.05,0.72,0.06,0.36,0.02,-1.8,0.04,-4.15,0.05,8.3,3.09,32,3," ",8.612,2849,1.641,299.49,30.58
76,"UBC1077",301.03,0.07,30.49,0.09,67.97,0.09,-0.45,0.07,0.33,0.03,-1.39,0.09,-3.62,0.09,47.07,"     ",61,1," ",9.023,3078,2.961,301.03,30.49
77,"UBC1078",299.85,0.08,31.18,0.06,68.02,0.06,0.77,0.07,0.33,0.02,-2.4,0.05,-5.26,0.06,-24.29,"     ",48,1," ",6.745,3774,2.603,299.85,31.18
78,"UBC1079",298.33,0.06,32.67,0.04,68.62,0.04,2.65,0.06,0.49,0.02,-2.48,0.06,-3.45,0.06,"      ","     ",28,0," ",8.149,2208,1.358,298.33,32.67
79,"UBC1080",301.25,0.08,31.64,0.08,69.04,0.08,0,0.06,0.37,0.02,-1.62,0.06,-4.73,0.07,1.31,1.29,75,2," ",8.667,2727,2.787,301.25,31.64
