CWNU_id,l,b,sig_l,sig_b,n,plx,sig_plx,pmx,sig_pmx,pmy,sig_pmy,rv,sig_rv,nrv,logage,A0,m-M,class,RA_ICRS,DE_ICRS
CWNU_2382,256.961,-6.786,0.113,0.122,12,0.73,0.024,-3.423,0.071,4.256,0.084,,,0,7.8,0.6,10.75,1,119.2159,-41.92127
CWNU_2383,290.462,2.365,0.093,0.049,51,0.293,0.064,-5.542,0.077,1.97,0.064,-0.39,12.99,2,8.8,1.15,12.3,1,168.72728,-58.15041
CWNU_2384,303.646,-0.406,0.031,0.023,51,0.288,0.059,-6.721,0.067,-0.05,0.087,-22.61,0.91,6,8.4,5.1,12.3,1,194.44715,-63.26894
CWNU_2385,10.066,-8.731,0.18,0.155,20,0.378,0.038,0.042,0.149,-2.667,0.219,,,0,9.25,1.35,12.4,1,280.34246,-24.26998
CWNU_2386,50.885,2.68,0.463,0.095,51,0.418,0.036,-1.435,0.145,-2.766,0.111,-2.11,20.85,2,8.65,3.1,11.65,1,288.79427,17.17846
CWNU_2387,196.855,-6.759,0.389,0.201,51,0.596,0.063,-0.92,0.128,-2.881,0.072,,,0,8.65,0.75,11.0,1,89.29952,11.016
CWNU_2388,17.546,-1.263,0.127,0.029,12,0.424,0.028,-0.155,0.06,-1.225,0.043,,,0,6.75,1.6,12.2,1,276.85817,-14.24828
CWNU_2389,339.616,-1.88,0.039,0.035,50,0.365,0.064,-1.176,0.126,-1.924,0.06,-44.38,2.69,5,8.45,5.3,11.85,1,253.47109,-46.74352
CWNU_2390,98.684,0.74,0.176,0.108,50,0.319,0.044,-4.244,0.098,-4.045,0.081,-50.58,,1,8.65,2.95,12.15,1,327.40774,54.81463
CWNU_2391,55.725,-0.877,0.011,0.008,12,0.297,0.052,-2.664,0.034,-6.415,0.035,,,0,6.7,5,13.05,1,294.52106,19.7408
