GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
7.65,-4.23,1.1,1.1,Ryu 615                                                                                                         ,OC   ,     ,424,274.74558,-24.37378
7.67,-0.35,13.0,13.0,"M 21,NGC 6531,Melotte 188,Collinder 363,OCL 26,ESO 521-19,MWSC 2796                                             ",OC   ,     ,425,271.04579,-22.49401
7.71,27.61,20.0,20.0,MWSC 5323                                                                                                       ,OC   ,     ,426,246.75592,-7.16533
7.78,0.76,0.9,0.9,Ryu 178                                                                                                         ,OC   ,     ,430,270.06217,-21.85019
7.78,8.45,13.0,13.0,"FSR 27,MWSC 2621                                                                                                ",OC   ,     ,432,263.05211,-17.88763
7.81,5.13,1.3,1.3,Ryu 616                                                                                                         ,OC   ,     ,434,266.05213,-19.6063
7.84,22.84,21.0,21.0,MWSC 5329                                                                                                       ,OC   ,     ,435,250.75413,-9.8362
7.92,3.29,1.0,1.0,Ryu 617                                                                                                         ,OC   ,     ,439,267.79268,-20.45698
7.92,-0.03,4.0,4.0,"Teutsch 14a,DSH J1803.5-2207,Teutsch J1803.5-2207,MWSC 2791                                                     ",OC   ,     ,440,270.87738,-22.11901
7.95,0.32,2.5,2.5,"ESO 589-26                                                                                                      ",OC   ,     ,441,270.56484,-21.9204
8.02,2.78,1.4,1.4,Ryu 618                                                                                                         ,OC   ,     ,444,268.31609,-20.62976
8.05,-0.59,1.1,1.1,Ryu 619                                                                                                         ,OC   ,     ,446,271.47337,-22.28027
8.07,5.58,1.2,1.2,Ryu 620                                                                                                         ,OC   ,     ,448,265.78649,-19.15163
8.13,-1.76,0.8,0.8,Ryu 621                                                                                                         ,OC   ,     ,450,272.62294,-22.77808
8.19,-0.33,2.0,2.0,Ryu 179                                                                                                         ,OC   ,     ,453,271.30244,-22.031
8.19,13.03,21.0,21.0,MWSC 4330                                                                                                       ,OC   ,     ,454,259.25839,-15.07545
8.23,1.03,0.8,0.8,Ryu 623                                                                                                         ,OC   ,     ,456,270.05045,-21.32557
8.29,0.64,1.9,1.9,Ryu 625                                                                                                         ,OC   ,     ,458,270.44621,-21.4667
8.29,1.65,0.5,0.5,Ryu 624                                                                                                         ,OC   ,     ,459,269.50605,-20.96475
8.33,-4.05,10.0,10.0,"ASCC 93,MWSC 2814                                                                                               ",OC   ,     ,460,274.9192,-23.69023
8.34,-0.43,1.0,1.0,Ryu 626                                                                                                         ,OC   ,     ,461,271.47562,-21.94908
8.46,-4.01,1.3,1.3,Ryu 627                                                                                                         ,OC   ,     ,465,274.94687,-23.55691
8.63,-3.74,3.4,3.4,Ryu 629                                                                                                         ,OC   ,     ,471,274.77359,-23.28053
8.87,-3.2,2.4,2.4,Ryu 631                                                                                                         ,OC   ,     ,475,274.37834,-22.81501
8.9,-0.16,1.0,1.0,Ryu 632                                                                                                         ,OC   ,     ,477,271.51648,-21.32856
8.91,5.37,1.1,1.1,Ryu 633                                                                                                         ,OC   ,     ,478,266.43305,-18.54428
8.91,-1.12,0.7,0.7,"VVV 162,VVV-CL 162                                                                                              ",OC   ,     ,481,272.42387,-21.78628
8.92,-4.14,1.4,1.4,Ryu 634                                                                                                         ,OC   ,     ,482,275.30567,-23.21198
8.96,22.48,20.0,20.0,MWSC 4290                                                                                                       ,OC   ,     ,485,251.65219,-9.19329
8.98,5.3,1.5,1.5,Ryu 180                                                                                                         ,OC   ,     ,486,266.53417,-18.52051
9.01,2.07,1.1,1.1,Ryu 635                                                                                                         ,OC   ,     ,488,269.50124,-20.13154
9.02,-0.37,1.2,1.2,Ryu 181                                                                                                         ,OC   ,     ,489,271.77612,-21.32622
9.03,-2.12,1.5,1.2,"NGC 6573,MWSC 2845                                                                                              ",OC   ,     ,490,273.43173,-22.16156
9.23,-10.82,9.0,9.0,"NGC 6698,ESO 523-8,MWSC 2995                                                                                    ",OC   ,     ,497,282.0336,-25.9123
9.24,4.8,2.7,2.7,Ryu 182                                                                                                         ,OC   ,     ,498,267.12701,-18.55434
9.28,-1.63,1.7,1.7,Ryu 637                                                                                                         ,OC   ,     ,499,273.09686,-21.70765
9.28,-2.53,4.0,3.0,"NGC 6583,Collinder 370,OCL 27,ESO 590-11,FSR 32,MWSC 2860                                                       ",OC   ,     ,500,273.94941,-22.13715
9.32,-0.8,0.8,0.8,Ryu 638                                                                                                         ,OC   ,     ,501,272.33592,-21.2727
9.32,1.43,3.4,3.4,Ryu 183                                                                                                         ,OC   ,     ,502,270.25686,-20.18089
9.34,-0.19,1.9,1.9,Ryu 639                                                                                                         ,OC   ,     ,503,271.77465,-20.95907
9.36,10.14,11.0,11.0,"FSR 33,MWSC 2609                                                                                                ",OC   ,     ,505,262.42353,-15.66839
9.38,2.85,1.5,1.5,Ryu 640                                                                                                         ,OC   ,     ,506,268.9802,-19.42115
9.39,-1.66,11.0,11.0,"NGC 6568,Collinder 369,OCL 28,ESO 590-6,MWSC 2841                                                               ",OC   ,     ,507,273.18191,-21.62554
9.4,5.05,1.6,1.6,Ryu 641                                                                                                         ,OC   ,     ,508,266.98639,-18.28955
9.42,-13.35,5.0,5.0,"FSR 34,MWSC 3031                                                                                                ",OC   ,     ,509,284.68927,-26.7914
9.49,-1.94,0.8,0.8,Ryu 642                                                                                                         ,OC   ,     ,512,273.4979,-21.6717
9.56,2.05,1.2,1.2,Ryu 643                                                                                                         ,OC   ,     ,513,269.81094,-19.66495
9.59,-1.8,1.2,1.2,Ryu 644                                                                                                         ,OC   ,     ,514,273.41698,-21.51701
9.64,-3.03,1.1,1.1,Ryu 184                                                                                                         ,OC   ,     ,517,274.60843,-22.05684
9.69,0.76,8.0,8.0,"FSR 35,MWSC 2797                                                                                                ",OC   ,     ,519,271.07224,-20.1893
9.71,-1.74,1.3,1.3,Ryu 645                                                                                                         ,OC   ,     ,520,273.42196,-21.38298
9.81,0.92,1.0,1.0,Ryu 646                                                                                                         ,OC   ,     ,522,270.98654,-20.00621
9.82,-0.29,1.1,1.1,Ryu 647                                                                                                         ,OC   ,     ,524,272.11767,-20.58821
9.87,2.85,27.0,27.0,"M 23,NGC 6494,Melotte 184,Collinder 356,OCL 30,ESO 589-22,MWSC 2757                                             ",OC   ,     ,525,269.23974,-18.99756
9.88,-13.8,6.0,6.0,"FSR 37,MWSC 3037                                                                                                ",OC   ,     ,526,285.35203,-26.56394
9.91,-5.08,1.8,1.8,Ryu 648                                                                                                         ,OC   ,     ,530,276.70693,-22.77219
9.92,-4.92,1.2,1.2,Ryu 649                                                                                                         ,OC   ,     ,531,276.55783,-22.6898
9.93,-0.82,1.8,1.8,Ryu 186                                                                                                         ,OC   ,     ,532,272.67031,-20.74832
9.95,0.71,0.8,0.8,Ryu 650                                                                                                         ,OC   ,     ,534,271.25435,-19.98722
9.95,-0.72,1.3,1.3,Ryu 187                                                                                                         ,OC   ,     ,535,272.58698,-20.68255
9.96,-1.46,0.9,0.9,Ryu 651                                                                                                         ,OC   ,     ,536,273.28648,-21.02957
10.0,-0.75,1.7,1.7,Ryu 652                                                                                                         ,OC   ,     ,538,272.64085,-20.65324
10.04,-17.42,1.1,1.1,"PannSTARS 1,PS1 1                                                                                               ",OC   ,     ,540,289.16966,-27.82882
10.07,1.02,1.2,1.2,"VVV 157,VVV-CL 157                                                                                              ",OC   ,     ,541,271.02964,-19.73064
10.11,4.27,1.6,1.6,Ryu 188                                                                                                         ,OC   ,     ,544,268.07203,-18.07664
10.15,0.3,0.8,0.8,"VVV 160,VVV-CL 160                                                                                              ",OC   ,     ,545,271.73903,-20.01298
10.24,-1.67,1.8,1.8,Ryu 653                                                                                                         ,OC   ,     ,548,273.62727,-20.8841
10.3,-2.35,1.4,1.4,Ryu 654                                                                                                         ,OC   ,     ,553,274.29873,-21.15455
10.33,-4.72,1.9,1.9,Ryu 189                                                                                                         ,OC   ,     ,557,276.5692,-22.23505
10.34,-1.47,0.5,0.5,"VVV 163,VVV-CL 163                                                                                              ",OC   ,     ,559,273.49036,-20.70077
10.45,-0.14,0.8,0.8,Bica 644                                                                                                        ,OC   ,     ,563,272.30335,-19.96447
10.66,5.64,0.9,0.9,Ryu 191                                                                                                         ,OC   ,     ,574,267.12543,-16.90957
10.71,4.2,1.7,1.7,Ryu 658                                                                                                         ,OC   ,     ,576,268.45243,-17.59518
10.72,0.46,1.0,1.0,Ryu 659                                                                                                         ,OC   ,     ,577,271.88532,-19.4372
10.83,-3.19,0.9,0.9,Ryu 660                                                                                                         ,OC   ,     ,579,275.36034,-21.08288
10.91,-4.27,1.2,1.2,Ryu 661                                                                                                         ,OC   ,     ,582,276.4264,-21.51444
10.97,-3.84,0.8,0.8,Ryu 192                                                                                                         ,OC   ,     ,583,276.04688,-21.26224
10.99,3.58,0.8,0.8,Ryu 193                                                                                                         ,OC   ,     ,584,269.16229,-17.66416
11.0,2.52,0.9,0.9,Ryu 194                                                                                                         ,OC   ,     ,586,270.13415,-18.18248
11.07,3.92,1.0,1.0,Ryu 662                                                                                                         ,OC   ,     ,588,268.89533,-17.42504
11.09,-2.13,1.8,1.8,Ryu 195                                                                                                         ,OC   ,     ,590,274.49091,-20.35502
11.11,1.24,1.3,1.3,Ryu 663                                                                                                         ,OC   ,     ,592,271.36599,-18.71639
11.12,0.07,1.4,1.4,Ryu 665                                                                                                         ,OC   ,     ,593,272.45242,-19.27651
11.16,-0.15,0.8,0.8,Ryu 666                                                                                                         ,OC   ,     ,594,272.67702,-19.34773
11.18,-4.58,2.0,2.0,Ryu 669                                                                                                         ,OC   ,     ,595,276.85535,-21.41847
11.18,3.4,0.6,0.6,Ryu 668                                                                                                         ,OC   ,     ,596,269.42524,-17.58955
11.18,-0.04,1.8,1.8,Ryu 667                                                                                                         ,OC   ,     ,597,272.58516,-19.27713
11.2,-0.65,2.1,2.1,Ryu 196                                                                                                         ,OC   ,     ,598,273.16229,-19.55323
11.26,-2.28,1.4,1.4,Ryu 197                                                                                                         ,OC   ,     ,600,274.71746,-20.27614
11.31,2.45,0.9,0.9,Ryu 670                                                                                                         ,OC   ,     ,601,270.35917,-17.94784
11.35,1.72,1.0,1.0,Ryu 198                                                                                                         ,OC   ,     ,602,271.04853,-18.27218
11.41,-5.54,2.9,2.9,Ryu 199                                                                                                         ,OC   ,     ,604,277.88583,-21.65361
11.49,-3.6,2.5,2.5,Ryu 672                                                                                                         ,OC   ,     ,607,276.07737,-20.69123
11.73,-1.61,1.0,1.0,Ryu 673                                                                                                         ,OC   ,     ,613,274.32587,-19.5454
11.74,19.2,5.0,5.0,"FSR 41,MWSC 2522                                                                                                ",OC   ,     ,614,255.87446,-8.85133
11.77,3.83,1.7,1.7,Ryu 200                                                                                                         ,OC   ,     ,615,269.34179,-16.8648
