"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC196",90.66799243877,0.15394852828,49.89286870441,0.10446797792,163.2230925981,0.1052930455,13.1603060441,0.1011529112,0.7538,0.0445,0.873,0.134,-2.614,0.155," ",90.66798660113,49.89287995727
"UBC197",83.36317602475,0.09357432491,39.85570616459,0.08856346871,169.4124992604,0.0800485505,3.6810319466,0.0813651224,0.311,0.0351,0.142,0.122,-1.298,0.107," ",83.36317522753,39.85571175369
"UBC198",82.12586901045,0.11889613798,35.71788917391,0.1499530692,172.3397380743,0.1329158729,0.5953197355,0.1189351017,0.5204,0.0327,0.018,0.078,-1.936,0.084," ",82.12586891358,35.71789751121
"UBC199",67.45069427854,0.17753128418,25.41082762819,0.15856133247,172.8040644713,0.198589273,-15.6706406292,0.1195662975,0.8122,0.0657,3.015,0.203,-1.761,0.162," ",67.45067990896,25.41083520864
"UBC200",76.91023078296,0.13574601722,17.59139107995,0.11533590117,184.7534873444,0.1427799478,-13.4980845896,0.1037789839,0.3677,0.0576,0.369,0.146,-2.473,0.141," ",76.91022911575,17.59140172794
"UBC201",93.34394844976,0.09847194724,15.93648971621,0.07343602914,194.4568756208,0.0814802532,-0.9324295084,0.0878652245,0.5485,0.0393,-0.447,0.101,-0.987,0.094," ",93.34395045194,15.93649396772
"UBC202",78.80130461242,0.14552479973,6.33008354929,0.18379748332,195.6200323662,0.2074642166,-18.0789282305,0.125716594,1.2112,0.0576,-0.469,0.208,-2.031,0.154," ",78.80130664266,6.33009229292
"UBC203",97.78896942906,0.0786291462,15.06311253382,0.08286806802,197.2406538016,0.0742163476,2.4384677134,0.0844607032,0.259,0.0389,-0.131,0.115,-1.096,0.123," ",97.78897001338,15.06311725295
"UBC204",102.37922260497,0.07723847265,12.05770020781,0.06518499446,201.9563010003,0.0730509119,5.0461584796,0.0682599202,0.2049,0.03,0.091,0.092,-0.394,0.099," ",102.37922220619,12.05770190429
"UBC205",84.76647371404,0.15484763208,-2.57344555515,0.15541517974,206.8304929866,0.1247007396,-17.2528621595,0.1841249314,2.4822,0.0893,1.617,0.492,-0.522,0.421," ",84.76646674442,-2.57344330956
"UBC206",93.3436142701,0.09898875605,1.43211207524,0.08361599689,207.2782960081,0.1036470292,-7.7985844967,0.0789883892,0.5291,0.0414,-0.376,0.102,-1.582,0.113," ",93.34361588948,1.43211888661
"UBC207",83.86561088567,0.12093299032,-4.50524914245,0.24946722615,208.1992859602,0.2664026452,-18.9402348184,0.1152485423,2.5387,0.0658,1.071,0.202,0.614,0.377," ",83.86560626219,-4.5052517864
"UBC208",83.79722932632,0.10565127834,-5.93037862035,0.17309802369,209.5126307941,0.1560031206,-19.6468228822,0.1393843814,2.5823,0.0525,1.219,0.194,0.558,0.234," ",83.79722405068,-5.93038102323
"UBC209",107.50165798787,0.07686063475,4.64834574589,0.0774482982,210.8944605,0.082212213,6.24297866,0.0720303636,0.8104,0.0338,0.702,0.092,-1.011,0.09,"a",107.50165495453,4.64835009884
"UBC210",97.6818704318,0.06833439017,-1.42935664363,0.08832803958,211.8422880401,0.0851831083,-5.2593834741,0.0726190475,0.4035,0.0305,0.017,0.126,1.41,0.11," ",97.6818703572,-1.42936271313
"UBC211",95.25975826162,0.11421911398,-3.44120828689,0.12564066294,212.5396037005,0.1404848579,-8.3291678699,0.0972718718,0.6698,0.0368,-1.49,0.132,1.624,0.122,"a",95.25976468888,-3.44121527875
"UBC212",100.94539254104,0.08338357788,-0.87775072841,0.0765324867,212.8404879733,0.0777019767,-2.1036938911,0.0823331647,0.3404,0.0332,-0.604,0.109,0.652,0.136," ",100.94539514183,-0.87775353694
