"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls","dups_fnames_m","dups_probs_m"
"HUNT23","1795","HSC 10",268.22553,-28.79675,0.9399,-1.2954,0.351,-0.2,-1.753,"hsc10","UCC G000.9-01.2","Q1N","nan","nan",3.9,False,25,True,0,0.52,1.0,"BA",0,0.962,-1.294,268.246,-28.771,0.35,-0.203,-1.769,3.986,2,3,"nan","nan"
"HUNT23","1796","HSC 11",267.41555,-28.34712,0.963,-0.4542,0.653,-1.502,-4.699,"hsc11","UCC G000.9-00.4","Q1N","nan","nan",5.9,False,32,True,0,0.52,0.56,"BB",24,0.961,-0.457,267.413,-28.348,0.649,-1.47,-4.678,-1.357,5,15,"nan","nan"
"FERREIRA21;HUNT23","8;6057","UFMG 71",265.55401,-27.33227,0.973,1.4796,0.628,0.754,-1.78,"ufmg71","UCC G000.9+01.4","Q1P","nan","nan",8.1,False,59,True,0,0.87,0.81,"AA",33,0.966,1.477,265.549,-27.327,0.655,0.725,-1.798,"nan",0,2,"nan","nan"
"KHARCHENKO12","1055","Dutra-Bica 24",268.853,-29.045,1.0036,-1.8947,"nan","nan","nan","dutrabica24","UCC G001.0-01.8","Q1N","nan","nan",2.6,False,25,True,0,0.09,0.59,"DB",0,1.003,-1.899,268.853,-29.042,0.161,-1.251,-4.365,"nan",0,3,"nan","nan"
"KHARCHENKO12","1066","Ruprecht 133",268.099,-28.652,1.0082,-1.1262,"nan","nan","nan","ruprecht133","UCC G001.0-01.1","Q1N","nan","nan",2.7,False,25,True,0,0.33,0.82,"CA",0,1.025,-1.141,268.112,-28.652,0.308,-0.335,-2.551,-22.91,1,1,"nan","nan"
"BICA19","16","Ryu 544",266.86003,-27.95062,1.05,0.17,"nan","nan","nan","ryu544","UCC G001.0+00.1","Q1P","nan","nan",2.0,False,60,True,0,0.29,0.33,"CC",45,1.046,0.178,266.854,-27.95,0.486,0.037,-1.574,-29.4,3,0,"nan","nan"
"BICA19","17","DB 25;Dutra-Bica 25;MWSC 2763",269.72547,-29.39678,1.08,-2.73,"nan","nan","nan","db25;dutrabica25;mwsc2763","UCC G001.0-02.7","Q1N","nan","nan",2.6,False,25,True,0,0.17,0.41,"DC",0,1.081,-2.721,269.711,-29.396,0.476,-4.24,-5.167,"nan",0,1,"nan","nan"
"HUNT23","1797","HSC 12",270.99783,-30.01874,1.0828,-3.9981,0.95,0.791,0.887,"hsc12","UCC G001.0-03.9","Q1N","nan","nan",16.7,False,50,False,0,0.96,0.76,"AA",30,1.09,-3.995,271.004,-30.014,0.959,0.778,0.827,-8.932,6,4,"nan","nan"
"BICA19","18","Ryu 155",270.54667,-29.7796,1.1,-3.54,"nan","nan","nan","ryu155","UCC G001.1-03.5","Q1N","nan","nan",1.0,False,25,True,0,0.33,0.24,"CD",0,1.1,-3.545,270.548,-29.777,0.104,-4.658,-5.366,113.614,1,0,"nan","nan"
"HUNT23","1798","HSC 13",269.0487,-28.9425,1.1783,-1.9911,0.412,-0.487,-2.946,"hsc13","UCC G001.1-01.9","Q1N","nan","nan",4.6,False,44,False,0,0.95,1.0,"AA",32,1.152,-1.984,269.039,-28.963,0.415,-0.497,-2.886,10.379,2,3,"nan","nan"
"FERREIRA21;HUNT23","30;6072","UFMG 93",269.47446,-29.15426,1.1814,-2.4193,0.329,-0.09,-2.557,"ufmg93","UCC G001.1-02.4","Q1N","nan","nan",3.8,False,91,False,0,1.0,1.0,"AA",74,1.191,-2.422,269.485,-29.153,0.32,-0.1,-2.578,-3.085,2,3,"nan","nan"
"HUNT23","1799","HSC 14",267.29987,-28.00804,1.2013,-0.1923,0.424,-0.005,-0.527,"hsc14","UCC G001.2-00.1","Q1N","nan","nan",4.5,False,39,True,10,0.13,0.78,"DA",22,1.233,-0.172,267.316,-27.979,0.428,-0.024,-0.564,-27.915,1,2,"nan","nan"
"BICA19","19","Ryu 156",270.49845,-29.62993,1.21,-3.43,"nan","nan","nan","ryu156","UCC G001.2-03.4","Q1N","nan","nan",1.0,False,25,True,0,0.18,0.24,"DD",0,1.207,-3.435,270.506,-29.633,0.111,-2.61,-4.173,"nan",0,0,"nan","nan"
"BICA19","20","Ryu 157",261.77779,-24.85669,1.23,5.67,"nan","nan","nan","ryu157","UCC G001.2+05.6","Q1P","nan","nan",1.1,False,25,True,0,0.2,0.23,"DD",0,1.231,5.678,261.771,-24.857,0.145,-4.756,-5.383,51.79,3,0,"nan","nan"
"KHARCHENKO12;BICA19","1071;2755","Ruprecht 168;OCL 7;ESO 456 03;MWSC 2732",268.19458,-28.43876,1.2345,-1.09,"nan","nan","nan","ruprecht168;ocl7;eso45603;mwsc2732","UCC G001.2-01.0","Q1N","nan","nan",2.9,False,25,True,0,0.1,0.66,"DB",0,1.232,-1.088,268.201,-28.45,0.13,-1.46,-2.111,"nan",0,3,"nan","nan"
"KHARCHENKO12;BICA19","1227;2757","Dolidze 50;OCL 32;Alessi J1605.5-2031;MWSC 2349",241.40725,-10.24647,1.2412,29.9114,"nan","nan","nan","dolidze50;ocl32;alessij160552031;mwsc2349","UCC G001.2+29.9","Q1P","nan","nan",6.5,False,25,True,0,0.29,0.29,"CC",0,1.243,29.891,241.422,-10.226,0.282,-4.313,-5.472,11.253,2,0,"nan","nan"
