DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE
1,Bica 644,272.30335,-19.96447,10.45001,-0.14,nan,nan,nan
1,Ryu 191,267.12543,-16.90957,10.66,5.63999,nan,nan,nan
1,Ryu 658,268.45243,-17.59518,10.71,4.2,nan,nan,nan
1,Ryu 659,271.88532,-19.4372,10.72001,0.46,nan,nan,nan
1,Ryu 660,275.36034,-21.08288,10.83001,-3.19,nan,nan,nan
1,Ryu 661,276.4264,-21.51444,10.91001,-4.27,nan,nan,nan
1,Ryu 192,276.04688,-21.26224,10.97,-3.84,nan,nan,nan
1,Ryu 193,269.16229,-17.66416,10.99001,3.58,nan,nan,nan
1,Ryu 194,270.13415,-18.18248,11.00001,2.52,nan,nan,nan
1,Ryu 662,268.89533,-17.42504,11.07,3.92,nan,nan,nan
1,Ryu 195,274.49091,-20.35502,11.09001,-2.13,nan,nan,nan
1,Ryu 663,271.36599,-18.71639,11.11001,1.23999,nan,nan,nan
1,Ryu 665,272.45242,-19.27651,11.12001,0.07,nan,nan,nan
1,Ryu 666,272.67702,-19.34773,11.16001,-0.15,nan,nan,nan
1,Ryu 669,276.85535,-21.41847,11.18001,-4.58001,nan,nan,nan
1,Ryu 668,269.42524,-17.58955,11.18001,3.4,nan,nan,nan
1,Ryu 667,272.58516,-19.27713,11.18001,-0.04,nan,nan,nan
1,Ryu 196,273.16229,-19.55323,11.20001,-0.65001,nan,nan,nan
1,Ryu 197,274.71746,-20.27614,11.26001,-2.28,nan,nan,nan
1,Ryu 670,270.35917,-17.94784,11.31001,2.44999,nan,nan,nan
1,Ryu 198,271.04853,-18.27218,11.35001,1.72,nan,nan,nan
1,Ryu 199,277.88583,-21.65361,11.41001,-5.54,nan,nan,nan
1,Ryu 672,276.07737,-20.69123,11.49001,-3.60001,nan,nan,nan
1,Ryu 673,274.32587,-19.5454,11.73001,-1.61,nan,nan,nan
1_2,"FSR_41,MWSC 2522",255.87573,-8.84466,11.74666,19.20257,nan,nan,nan
1,Ryu 200,269.34179,-16.8648,11.77001,3.83,nan,nan,nan
1,Ryu 674,274.64586,-19.63928,11.79001,-1.92,nan,nan,nan
1_2,"FSR_42,MWSC 2548",258.52375,-10.47392,11.78535,16.12569,nan,nan,nan
1,Ryu 676,271.93327,-18.20378,11.82001,1.02,nan,nan,nan
1,Ryu 201,270.2945,-17.32707,11.82001,2.80999,nan,nan,nan
1,Ryu 677,271.50061,-17.89431,11.89001,1.53,nan,nan,nan
1,Ryu 679,273.58409,-18.92759,11.94001,-0.7,nan,nan,nan
1,Ryu 680,267.8121,-15.80772,11.95001,5.62999,nan,nan,nan
1,Ryu 682,274.28854,-19.23121,11.99001,-1.43001,nan,nan,nan
1,Ryu 681,277.38582,-20.76545,11.99001,-4.72,nan,nan,nan
1,Ryu 683,275.01302,-19.41635,12.15001,-2.12001,nan,nan,nan
1,Ryu 684,268.78757,-16.06418,12.20001,4.69,nan,nan,nan
1_2,"FSR_43,MWSC 2685",266.48108,-14.66022,12.29115,7.31851,nan,nan,nan
1,Ryu 685,277.99824,-20.67867,12.33001,-5.19,nan,nan,nan
1,Ryu 686,276.39334,-19.88873,12.34001,-3.49,nan,nan,nan
1_2_3_4_6_7,"Trumpler 33,Collinder 378,OCL 34,ESO_590_20,MWSC 2910",276.16141,-19.71567,12.39203,-3.21638,0.682,0.478,0.475
1_2,MWSC 5715,293.3853,-26.89634,12.40362,-20.56511,nan,nan,nan
1,Ryu 202,278.13261,-20.58635,12.47,-5.26,nan,nan,nan
1,Ryu 688,275.65448,-19.36449,12.48,-2.63,nan,nan,nan
1,Ryu 689,272.43376,-17.63319,12.55001,0.88,nan,nan,nan
1,Ryu 690,277.81576,-20.26657,12.62,-4.85,nan,nan,nan
1,Ryu 11,269.37565,-15.88315,12.64001,4.29,nan,nan,nan
1,Ryu 691,267.94927,-15.04422,12.68001,5.89999,nan,nan,nan
1_2_3_4_6,"Collinder 469,OCL 35,MWSC 2865",274.13908,-18.309,12.73456,-0.86754,0.397,0.082,-1.679
1,ESO_590_13,274.04644,-18.26662,12.73001,-0.77001,nan,nan,nan
1,"Messineo 1,Cl 1813-18,SAI 126,",273.34899,-17.89497,12.74001,-0.01,nan,nan,nan
1,Ryu 204,275.21125,-18.74611,12.83001,-1.97,nan,nan,nan
1,Ryu 695,271.98614,-17.04235,12.86001,1.54,nan,nan,nan
1_2_3_4_6,"NGC 6603,Melotte 197,Collinder 374,OCL 36,FSR_45,MWSC 2883",274.61326,-18.409,12.85996,-1.31119,0.324,0.129,-2.042
1,Ryu 697,273.66853,-17.90118,12.88001,-0.28,nan,nan,nan
1,Ryu 698,275.51371,-18.73994,12.97001,-2.22001,nan,nan,nan
1,Ryu 205,269.82114,-15.73732,12.98001,3.99,nan,nan,nan
1,Ryu 699,275.60812,-18.74211,13.01001,-2.30001,nan,nan,nan
1,Ryu 206,275.96798,-18.91088,13.02001,-2.68,nan,nan,nan
1,Ryu 207,270.47725,-15.81987,13.22001,3.39999,nan,nan,nan
1,Ryu 208,269.26957,-15.13554,13.24001,4.75,nan,nan,nan
1_2,MWSC 4484,290.58103,-25.01364,13.27317,-17.52776,nan,nan,nan
1,Ryu 700,276.51224,-18.87689,13.29001,-3.12001,nan,nan,nan
1,Ryu 701,278.87416,-19.96838,13.34001,-5.6,nan,nan,nan
1,Ryu 702,275.15827,-18.09636,13.38001,-1.62,nan,nan,nan
1,Ryu 703,272.96764,-16.72694,13.59001,0.86999,nan,nan,nan
1,Ryu 704,274.51883,-17.47529,13.64001,-0.79001,nan,nan,nan
1,Ryu 705,271.74787,-16.01219,13.65001,2.24,nan,nan,nan
1_2_3_4_6_7,"M 25,IC 4725,Melotte 204,Collinder 382,OCL 38,ESO_591_6,MWSC 2940",277.93673,-19.11952,13.69591,-4.42727,1.513,-1.69,-6.129
1,Ryu 706,277.15243,-18.73142,13.70001,-3.59001,nan,nan,nan
1,Ryu 209,269.56499,-14.73618,13.73,4.7,nan,nan,nan
1,Ryu 12,271.24068,-15.61427,13.76001,2.86,nan,nan,nan
1_2_3_4_6_7,"Alessi 40,ASCC 97,MWSC 2963",279.263,-19.16823,14.22357,-5.56564,1.737,-2.331,-6.497
1,Ryu 707,273.52339,-16.60763,13.95001,0.46,nan,nan,nan
1,Ryu 210,274.32534,-16.93277,14.03001,-0.37,nan,nan,nan
1,FSR_47,274.74478,-17.13715,14.04001,-0.82,nan,nan,nan
1,Ryu 708,273.34021,-16.38661,14.06001,0.72,nan,nan,nan
1,Ryu 709,276.41763,-17.95011,14.07001,-2.61,nan,nan,nan
1_2,"Ruprecht 146,OCL 39,ESO_592_4,MWSC 3012",283.11892,-21.0841,14.09881,-9.65962,nan,nan,nan
1,Ryu 710,272.10169,-15.58398,14.19001,2.14999,nan,nan,nan
1_3_4_6,"M 18,NGC 6613,Collinder 376,OCL 40,MWSC 2892",274.9876,-17.09054,14.19072,-1.00255,0.64,-0.499,-0.917
1,Ryu 211,272.88564,-15.85138,14.32001,1.36,nan,nan,nan
1,Ryu 212,274.22417,-16.31229,14.53001,0.00999,nan,nan,nan
1,Ryu 213,278.91357,-18.61378,14.57001,-5.02001,nan,nan,nan
1,Ryu 713,273.39832,-15.82481,14.58,0.94,nan,nan,nan
1,Ryu 714,270.20514,-14.06783,14.62001,4.48999,nan,nan,nan
1,Ryu 717,271.56353,-14.74747,14.67001,3.01,nan,nan,nan
1_2_3_4_6_7,"Collinder 394,OCL 42,ESO_592_3,MWSC 3011",283.06009,-20.2266,14.85905,-9.24016,1.38,-1.462,-5.882
1,Ryu 214,274.07421,-15.77972,14.93001,0.39,nan,nan,nan
1,Ryu 719,272.43856,-14.85029,14.99001,2.21999,nan,nan,nan
1_2,"ESO_525_8,MWSC 3125",291.80809,-23.5887,15.10393,-18.01941,nan,nan,nan
1,Ryu 724,271.65242,-14.2013,15.19001,3.2,nan,nan,nan
1,Ryu 215,276.73055,-16.84314,15.19001,-2.36,nan,nan,nan
1_2_3_4_6_7,"Alessi 31,ASCC 92,MWSC 2723",267.72239,-11.87509,15.3317,7.67747,1.48,-1.151,-4.144
1,Ryu 725,278.84317,-17.86396,15.21001,-4.62,nan,nan,nan
